Ano;Semestre;data semestre;Concelho;Pedidos de Ligação à Rede Executados (#);CodConcelho
2024;2;2024 Sem. 2;Sabugal;97.0;0911
2024;2;2024 Sem. 2;Alcanena;102.0;1402
2024;2;2024 Sem. 2;Campo Maior;41.0;1204
2024;2;2024 Sem. 2;Alenquer;172.0;1101
2024;2;2024 Sem. 2;Silves;301.0;0813
2024;2;2024 Sem. 2;São João da Pesqueira;66.0;1815
2024;2;2024 Sem. 2;Mértola;63.0;0209
2024;2;2024 Sem. 2;Castro Marim;79.0;0804
2024;2;2024 Sem. 2;Vila Verde;488.0;0313
2024;2;2024 Sem. 2;Vila Nova da Barquinha;48.0;1420
2024;2;2024 Sem. 2;Paredes;470.0;1310
2024;2;2024 Sem. 2;Paços de Ferreira;353.0;1309
2024;2;2024 Sem. 2;Vidigueira;38.0;0214
2024;2;2024 Sem. 2;Nazaré;140.0;1011
2024;2;2024 Sem. 2;Ferreira do Alentejo;39.0;0208
